010001 |R     And *|002402.0+383437 |M         |  5.8    |  15.2      |            |V |53820.      |     |   409.2            |38   |S3,5e-S8,8e(M7e) |HIP   00002|
320264 |LP    Del  |203303.3+042313 |M         | 12.0    |  18.2      |            |p |37854.      |     |   296.9            |20   |M2               |09035 09035|
320265 |LQ    Del  |204249.5+191107 |SRB       |  8.75   |   9.25     |            |V |            |     |    30.          :  |     |M6               |08282 08282|
320266 |LR    Del  |205502.2+171534 |ACV       |  7.7    |(  0.039   )|            |V |            |     |    26.             |     |A0p              |08323 BD   |
320267 |LS    Del *|205710.3+193859 |EW/KW     |  8.61   |   8.76     |   8.76     |V |42687.418   |     |     0.3638         |     |                 |08438 BD   |
320269 |LU    Del  |204158.2+173117 |SR:       |  6.22   |(  0.25    )|            |V |            |     |                    |     |                 |70053 BD   |
320273 |LY    Del  |210626.1+192437 |EA        | 10.40   |  13.5      |            |V |            |     |                    |     |                 |73146 73146|
320274 |LZ    Del  |201709.8+155222 |GCAS      |  7.43   |   7.63     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320275 |MM    Del  |202129.5+120936 |LB:       | 11.44   |  11.70     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320276 |MN    Del  |202226.7+165500 |SRB       |  7.17   |   7.37     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320277 |MO    Del  |202620.4+105019 |BY:       | 11.04   |  11.27     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320278 |MP    Del  |202826.6+114315 |EA        |  7.62   |   7.89     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320279 |MQ    Del  |203044.5+120527 |SRD       |  8.64   |   8.79     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320280 |MR    Del  |203113.5+051309 |EA        |  8.85   |   9.16     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320281 |MS    Del  |203115.2+062121 |LB        |  8.28   |   8.44     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320282 |MT    Del  |203208.0+183739 |LB        |  7.05   |   7.30     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320283 |MU    Del  |203243.0+193135 |BY:       | 11.56   |  11.89     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320284 |MV    Del  |203416.4+193150 |SRB:      |  7.24   |   7.34     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320285 |MW    Del  |203538.7+035951 |SRB:      |  8.48   |   8.76     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320286 |MX    Del  |203623.1+203558 |EB        |  8.99   |   9.17     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320287 |MY    Del  |204359.3+173418 |LB:       |  8.01   |   8.15     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320288 |MZ    Del  |204520.0+070220 |EB        |  8.32   |   8.54     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320289 |NN    Del  |204649.2+073310 |EA        |  8.49   |   8.92     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320290 |NO    Del  |205004.8+165905 |LB        |  9.04   |   9.40     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320291 |NP    Del  |205311.3+152555 |ELL:      |  8.89   |   8.97     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320292 |NQ    Del  |205420.3+081108 |LB:       | 11.76   |  12.16     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320293 |NR    Del  |205711.2+161505 |LB        |  7.18   |   7.48     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
320294 |NS    Del  |201542.4+135057 |ACV       |  9.22   |(  0.09  U )|            |V |            |     |                    |     |                 |75026 BD   |
320296 |NU    Del  |210207.0+181039 |M:        |  9.8    |  14.6      |            |p |            |     |                    |     |                 |75130 75130|
320297 |NV    Del  |201813.7+103755 |SR        | 11.64   |  11.94     |            |* |            |     |                    |     |                 |76169 GSC  |
320299 |NX    Del  |205025.1+060538 |SRB       | 10.0    |  11.0      |            |V |            |     |                    |     |                 |76054 GSC  |
320301 |NZ    Del  |205144.6+035515 |LB        | 12.4    |  13.1      |            |* |            |     |                    |     |                 |77125 GSC  |
320304 |OQ    Del  |203937.7+045819 |BY        |  7.88   |(  0.04    )|            |V |            |     |                    |     |K5V              |78018 DM   |
320305 |OR    Del *|204613.3+155426 |RS        |  7.09   |(  0.03    )|            |V |            |     |     6.557          |     |K0IV             |78018 DM   |
320307 |OT    Del  |203131.9+064632 |EA        | 12.25   |  12.93 :   |  12.45     |V |52832.775   |     |     0.646147       |17   |                 |79006 79136|
320308 |OU    Del  |203414.3+063406 |LB:       | 11.0    |  13.4      |            |V |            |     |                    |     |M1               |79100 79010|
320309 |OV    Del  |204500.3+164805 |LB        | 11.5    |  12.1      |            |V |            |     |                    |     |                 |79100 79135|
320311 |OX    Del *|204900.6+161348 |EA        | 10.96   |  11.47     |            |V |52754.379   |     |     7.125          |09   |G5               |79166 DM   |
320312 |OY    Del  |201749.9+101630 |SR        | 12.0    |  12.4      |            |* |            |     |    49.6            |     |                 |80001 USNO | NL80_3
320313 |OZ    Del  |202311.1+185446 |EW        | 10.48   |  10.77     |  10.71     |V |51322.917   |     |     0.911325       |     |F2               |80042 GSC  | NL80_3
320314 |PP    Del  |202823.9+113111 |E+RS      |  9.6    |  10.0      |            |V |            |     |     1.0209         |     |                 |80021 GSC  | NL80_3
320315 |PQ    Del  |202932.8+122731 |BY        |  9.95   |(  0.05 : *)|            |V |            |     |     3.7553         |     |                 |80021 DM   | NL80_3
320316 |PR    Del  |203106.4+090904 |SRB       | 10.7    |  11.1      |            |* |            |     |    45.             |     |                 |80100 GSC  | NL80_3
320317 |PS    Del  |203135.0+125420 |EA        | 11.95   |  12.40     |  12.08     |V |52933.555   |     |     0.753478       |16   |                 |80011 GSC  | NL80_3
320318 |PT    Del  |203238.6+200143 |EA        | 11.89   |  12.75     |  12.35     |V |52879.688   |     |     7.2432         |17   |                 |80042 GSC  | NL80_3
320320 |PV    Del  |203553.0+100612 |BY        | 12.44   |(  0.09   *)|            |V |            |     |     0.9644         |     |                 |80021 GSC  | NL80_3
320321 |PW    Del  |203622.0+121540 |BY        |  9.77   |(  0.19    )|            |V |            |     |    12.3366         |     |                 |80021 DM   | NL80_3
320322 |PX    Del  |203747.8+195115 |EB        | 12.23   |  12.88     |  12.70     |V |51339.4     |     |    49.44           |     |                 |80013 GSC  | NL80_3
320323 |PY    Del  |203756.5+133753 |EA:       | 12.08   |  13.26     |  13.0      |* |53557.8787  |     |     0.60851        |21   |                 |80557 80557| NL80_3
320325 |QQ    Del  |204017.1+143036 |BY        |  9.86   |(  0.04   *)|            |V |            |     |     0.9378         |     |                 |80021 DM   | NL80_3
320326 |QR    Del  |204404.8+131412 |BY        | 10.71   |(  0.08   *)|            |V |            |     |     2.1510         |     |                 |80021 GSC  | NL80_3
320327 |QS    Del  |204751.7+135028 |RS        | 11.5    |  11.7      |            |* |            |     |    17.9449         |     |                 |80067 80067| NL80_3
320328 |QT    Del  |204853.4+122230 |BY        | 10.77   |(  0.07   *)|            |V |            |     |     6.2897         |     |G5               |80021 DM   | NL80_3
320329 |QU    Del  |204922.9+064739 |RS        | 10.05   |  10.14     |            |V |            |     |     9.04572        |     |F0               |80001 DM   | NL80_3
320330 |QV    Del  |205428.0+090607 |BY        | 11.73   |(  0.07   *)|            |V |            |     |     2.2374         |     |                 |80021 GSC  | NL80_3
320332 |QX    Del  |205550.9+102341 |RS        | 11.3    |  11.4      |            |* |            |     |    10.15           |     |                 |80043 80043| NL80_3
320333 |QY    Del  |205902.5+184702 |RS        | 11.0    |  11.2      |            |* |            |     |     3.62021        |     |                 |80067 80067| NL80_3
320335 |V0335 Del  |210044.1+151955 |EB        | 11.92   |  12.30     |  12.04     |* |52500.483   |     |     0.787193       |     |                 |80164 80164| NL80_3
320336 |V0336 Del  |210047.5+145246 |EW        | 12.25   |  12.48     |  12.46     |* |52497.69    |     |     0.631308       |     |                 |80565 80565| NL80_3
329004 |del   Del *|204327.5+150429 |DSCT      |  4.38   |   4.49     |            |V |            |     |                    |     |F0IV             |07528 BD   |
330001 |R     Dor *|043645.6-620438 |SRB       |  4.8    |   6.6      |            |V |            |     |   338.          :  |     |M8IIIe           |00353 00002|
330002 |S     Dor *|051814.4-691501 |SDOR      |  8.6    |  11.5      |            |B |            |     |                    |     |A0-5eq           |V 125 V 016|=LMC  V1970
330003 |T     Dor *|044549.6-594713 |M         | 10.5    |< 14.       |            |p |40665.      |     |   168.0            |     |M5IIe            |05828 08953|
330004 |U     Dor  |051008.8-641904 |M         |  8.1    |  14.6      |            |p |29850.      |     |   394.4            |     |M8IIIe           |00001 09040|
330012 |RT    Dor  |052944.7-641713 |RRAB      | 11.8    |  13.0      |            |p |30767.272   |     |     0.482837       |16   |                 |09036 09040|
330015 |RW    Dor *|051832.5-681333 |EW/KW     | 10.8    |  11.4      |  11.2      |p |30938.6017  |     |     0.285463812    |     |G                |09041 09040|
330018 |RZ    Dor  |042019.7-542012 |M:        | 11.0    |< 12.8      |            |p |24153.      |     |   161.             |     |                 |00210 GSC  |
330019 |SS    Dor  |040551.6-545003 |M         | 11.5    |  15.8      |            |p |            |     |                    |     |                 |00085 02385|
330020 |ST    Dor  |042850.3-543008 |M:        | 12.     |< 13.5      |            |p |28850.      |     |                    |     |M0e              |00085 02381|
330021 |SU    Dor  |044730.0-554106 |M         |  8.5    |< 14.0      |            |V |40741.      |     |   235.86           |     |                 |00001 02381|
330041 |VW    Dor  |060745.7-665839 |RRAB      | 11.22   |  12.11     |            |V |38379.453   |     |     0.570610       |20   |                 |00001 09040|
330043 |VY    Dor  |044813.3-534805 |RR        | 12.     |  12.5      |            |p |            |     |                    |     |                 |06561 06561|
330045 |WW    Dor  |041336.8-503510 |SRB       |  8.66   |   8.87     |            |V |40625.      |     |    52.             |     |M2(Ib/II)        |05828 CoD  |
330046 |WX    Dor  |041505.4-530033 |SRB       |  8.76   |   8.91     |            |V |            |     |    80.          :  |     |MB               |05828 CPD  |
330047 |WY    Dor  |044925.4-664949 |LB        |  9.60   |   9.85     |            |V |            |     |                    |     |M4/5(III)        |05828 CPD  |
330048 |WZ    Dor  |050734.0-632359 |SRB       |  5.2    |(  0.12 :  )|            |V |            |     |    40.             |     |M3III            |06994 CPD  |
330049 |XX    Dor *|045913.6-693543 |RRC       | 11.23   |  11.67     |            |V |40701.307   |     |     0.328936       |52   |F0               |09076 CPD  |
330050 |XY    Dor  |040015.5-513354 |LB:       |  6.50   |(  0.07    )|            |V |            |     |                    |     |M1III            |05150 CoD  |
330051 |XZ    Dor  |044904.8-564000 |LB:       |  6.55   |(  0.16    )|            |V |            |     |                    |     |M4III            |04456 CPD  |
330053 |YZ    Dor  |061252.9-682137 |M:        | 10.5    |< 12.5      |            |p |            |     |                    |     |                 |V 178 V 179|=LMC  V4699
330055 |AA    Dor *|053140.4-695302 |EA/D      | 11.13   |  11.60     |  11.21     |V |43196.34870 |     |     0.2615398      |07   |O(subdwarf)      |09081 CPD  |
330056 |AB    Dor  |052844.8-652655 |FKCOM:    |  6.77   |   6.98     |            |V |            |     |                    |     |                 |67395 CPD  |
330061 |AG    Dor  |040729.2-523417 |RS        |  8.66   |   8.83     |            |V |            |     |                    |     |                 |69011 CPD  |
330065 |AL    Dor  |044652.3-603613 |EA        |  7.80   |   8.12     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
330066 |AM    Dor  |045009.1-583122 |LB:       |  8.35   |   8.45     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
330067 |AN    Dor  |045228.2-554149 |EA        |  7.61   |   7.79     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
330068 |AO    Dor  |050132.8-680143 |LB:       |  8.17   |   8.28     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
330069 |AP    Dor  |050645.1-590303 |EW:       |  9.38   |   9.60     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
330070 |AQ    Dor  |051013.6-602621 |LB        |  8.57   |   9.00     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
330071 |AR    Dor  |051203.1-651033 |E:        |  7.12   |   7.20     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
330072 |AS    Dor  |051916.9-675149 |LB:       |  9.72   |   9.95     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
330073 |AT    Dor  |052816.2-590847 |LB:       |  8.63   |   8.73     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
330074 |AU    Dor  |053622.3-661725 |LB:       |  8.73   |   8.86     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
330075 |AV    Dor  |054104.9-615128 |EA        |  9.67   |  10.09     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
330076 |AW    Dor  |061342.7-664759 |LB:       |  9.17   |   9.35     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
330077 |AX    Dor  |062758.9-664516 |LB:       |  8.37   |   8.47     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
330078 |AY    Dor  |063101.1-665215 |LB:       |  6.77   |   7.24     |            |Hp|            |     |                    |     |                 |HIP   HIP  |
330079 |AZ    Dor  |053655.0-663337 |BE        |  6.26   |   6.29     |            |V |            |     |                    |     |                 |76053 DM   |
330082 |BD    Dor  |043819.1-571214 |EA        | 11.45   |  12.12     |  11.7  :   |V |53470.550   |     |     0.785242       |18   |                 |79009 DM   |
339001 |alf   Dor *|043359.8-550242 |ACV       |  3.26   |   3.30     |            |V |43481.50    |     |     2.95           |50   |A0IIIp(Si)       |04013 CPD  |
339002 |bet   Dor *|053337.5-622923 |DCEP      |  3.46   |   4.08     |            |V |40905.30    |     |     9.8426         |48   |F4-G4Ia-II       |08654 08953|
339003 |gam   Dor  |041601.6-512912 |EW:       |  4.23   |   4.27     |            |V |            |     |                    |     |F0V-F5V          |06065 HIP  |
340001 |R     Dra  |163240.2+664518 |M         |  6.7    |  13.2      |            |V |44779.      |     |   245.60           |45   |M5e-M9eIII       |00001 00002|
340002 |S     Dra  |164255.9+545414 |SRB       | 10.5    |  11.5      |            |p |            |     |   136.          :  |     |M7               |01169 08953|
340003 |T     Dra *|175623.3+581306 |M         |  7.2    |  13.5      |            |V |43957.      |     |   421.62           |44   |C6,2e-C8,3e(N0e) |00001 00002|
340004 |U     Dra *|191000.6+671637 |M         |  9.1    |  14.6      |            |V |44290.      |     |   316.13           |47   |M6e-M8           |00001 00002|
340005 |V     Dra  |175814.5+545218 |M         |  9.5    |  14.7      |            |V |44451.      |     |   278.33           |50   |M4e              |00001 00002|
340006 |W     Dra *|180534.7+655722 |M         |  8.9    |  15.4      |            |V |42176.      |     |   278.6            |43   |M3e-M4e          |00001 00002|
340007 |X     Dra  |180652.2+660919 |M         |  8.9    |  15.8      |            |V |44167.      |     |   257.33           |44   |M5e:             |00001 00002|
340008 |Y     Dra *|094222.6+775107 |M         |  6.24   |  15.0      |            |V |44448.      |     |   325.79           |45   |M5e              |00001 09050|
340009 |Z     Dra *|114529.2+721458 |EA/SD     | 10.8    |  14.1      |  11.0      |p |43499.736   |     |     1.3574560      |15  *|F4V              |00001 09082|
340010 |RR    Dra *|184147.4+624035 |EA/SD     | 10.0    |  13.3      |  10.1      |V |44483.391   |     |     2.8313215      |15   |A2               |00001 00101|
340011 |RS    Dra *|183733.5+741943 |SRA       |  9.0    |  12.0      |            |V |15120.      |     |   282.72           |44   |M5e              |03817 00101|
340012 |RT    Dra  |181925.8+724050 |M         |  9.6    |  13.8      |            |V |35494.      |     |   279.41           |     |M5               |00001 00101|
340013 |RU    Dra  |181920.7+593223 |M         |  9.4    |< 13.6      |            |V |34214.      |     |   297.1            |40   |M5e              |00001 00101|
340014 |RV    Dra  |123746.0+653323 |M         |  8.4    |  14.2      |            |V |43526.      |     |   208.14           |35   |M1e-M3e          |00001 00002|
340015 |RW    Dra *|163531.6+575023 |RRAB      | 11.05   |  12.08     |            |V |39377.391   |     |     0.442917       |     |A7-F4            |08636 00102|
340016 |RX    Dra *|190242.0+584358 |EA/DM     | 10.0    |  10.5      |  10.3      |V |17502.411   |     |     3.7863886      |09  *|F                |00522 00100|
340017 |RY    Dra  |125625.9+655940 |SRB:      |  6.03   |   8.0      |            |V |            |     |   200.          :  |     |C4,5J(N4p)       |00001 08953|
340018 |RZ    Dra *|182305.4+585413 |EB/SD:    | 10.11   |  11.01     |  10.38     |V |44177.5555  |     |     0.5508738      |     |A5               |09052 00102|
340019 |SS    Dra  |122620.9+684117 |SRB       |  8.4    |  10.4      |            |V |27667.      |     |    51.5            |48   |M5               |00310 08953|
340020 |ST    Dra  |163538.0+573605 |CST:      | 10.6  : |  11.2      |            |p |            |     |                    |     |K0               |00352      |
340021 |SU    Dra *|113756.6+671947 |RRAB      |  9.18   |  10.27     |            |V |43902.0467  |     |     0.66042001     |15   |F2-F7            |08299 08299|
340022 |SV    Dra  |183338.4+492220 |M         |  9.1    |  15.0      |            |V |43714.      |     |   256.24           |49   |M7e              |00001 00002|
340023 |SW    Dra *|121746.6+693038 |RRAB      |  9.94   |  10.94     |            |V |26224.5876  |     |     0.56966993     |17   |A7-F8            |03506 06286|
340024 |SX    Dra *|180433.9+582354 |EA/SD     |  9.8    |  11.6      |  10.0      |V |44705.459   |     |     5.16952        |14   |A7V              |00001 00537|
340025 |SY    Dra  |173357.8+535738 |M         | 10.5    |< 14.0      |            |V |42850.      |     |   391.38           |     |M7e              |00001 00114|
340026 |SZ    Dra  |191002.3+660610 |LB        | 10.0    |  11.0      |            |p |            |     |                    |     |M5               |      08953|
340027 |TT    Dra *|171252.3+575146 |SRB       | 10.5    |< 12.5      |            |p |            |     |   107.          :  |     |M6               |01169 08953|
340028 |TU    Dra  |185130.2+485443 |M         | 10.0    |< 13.3      |            |V |38892.      |     |   344.79           |     |M4e              |00001 00537|
340029 |TV    Dra  |170824.5+641909 |LB        | 10.2    |  11.6      |            |p |            |     |                    |     |M8p(S)           |      08953|
340030 |TW    Dra *|153351.1+635426 |EA/SD     |  8.0    |  10.5      |   8.1      |p |44136.295   |     |     2.8068470      |17   |A8V+K0III        |09053 08953|
340031 |TX    Dra *|163500.7+602805 |SRB       |  7.9    |  10.2      |            |p |            |     |    78.          :  |50   |M4e-M5           |01169 00002|
340032 |TY    Dra  |173700.1+574425 |LB        |  8.8    |   9.9      |            |V |            |     |                    |     |M5-M8            |01462 08953|
340033 |TZ    Dra  |182211.7+473408 |EA/SD     |  9.6    |  10.5      |            |p |42966.482   |     |     0.8660347      |20  *|A7V:             |07531 08953|
340034 |UU    Dra *|202403.6+751514 |SRB       | 10.8    |  12.3      |            |p |            |     |   120.             |50   |M8IIIe           |01463 01464|
340035 |UV    Dra  |144401.9+560625 |SRA       |  8.6    |   9.8      |            |V |24436.4     |     |    77.4            |43   |M5               |00898 08953|
340036 |UW    Dra  |175731.3+543956 |LB        |  7.0    |   8.2      |            |V |            |     |                    |     |K5p              |      08953|
340037 |UX    Dra *|192135.5+763335 |SRA:      |  5.94   |   7.1      |            |V |            |     |   168.             |50   |C7,3(N0)         |00108 06225|
340038 |UY    Dra  |175622.1+581254 |CST:      | 10.99   |            |            |V |            |     |                    |     |K2III-IV         |00458 00119|
340039 |UZ    Dra *|192555.0+685607 |EA/DM     |  9.9    |  10.7      |  10.6      |p |41570.283   |     |     3.2613024      |07   |F8               |03671 00010|
340040 |VV    Dra  |121729.4+691524 |LB:       | 10.3    |  10.8      |            |p |            |     |                    |     |K5               |      01465|
340041 |VW    Dra *|171629.4+604014 |SRD:      |  6.0    |   7.0      |            |V |            |     |   170.          :  |     |K1.5IIIb         |03828 08953|
340043 |VY    Dra  |153950.5+643943 |CST:      |  9.2    |            |            |p |            |     |                    |     |K2               |01466 09087|
340044 |VZ    Dra  |162105.7+582703 |RRC       | 11.4    |  12.2      |            |p |43361.3979  |     |     0.3210308      |     |A                |04150 09088|
340045 |WW    Dra *|163904.0+604159 |EA/AR/RS  |  8.3    |(  0.65    )|(  0.08    )|V |28020.3686  |     |     4.6296238      |12  *|G2IV+K0IV        |08592 01467|
340047 |WY    Dra  |193320.8+805543 |RRAB      | 12.08   |  13.64     |            |B |38604.518   |     |     0.588941       |15   |                 |00001 01470|
340048 |WZ    Dra *|165949.7+521904 |SRA       |  8.5    |  14.0      |            |V |43135.      |     |   401.7            |50   |M6e              |00001 04238|
340051 |XZ    Dra *|190942.6+645132 |RRAB      |  9.59   |  10.65     |            |V |41928.374   |     |     0.476497       |20   |A6-F6            |07032 01474|
340053 |YZ    Dra  |192345.1+714114 |M         |  8.3    |< 14.5      |            |V |34722.      |     |   347.6            |     |M8e              |00001 00114|
340054 |ZZ    Dra *|194058.1+674604 |M         | 10.     |< 15.5      |            |p |41209.      |     |   267.9            |     |M7e              |00001 00114|
340055 |AA    Dra  |200547.5+661720 |M         | 10.     |< 15.5      |            |p |37040.      |     |   338.62           |     |M6               |00001 00114|
340056 |AB    Dra  |194906.4+774423 |UGZ       | 11.0    |  15.3      |            |V |            |     |(   13.4          ) |     |pec(UG)          |03791 00002|
340057 |AC    Dra  |202006.0+685249 |LB        |  7.14   |(  0.25    )|            |B |            |     |                    |     |M5IIIab          |01371 BD   |
340058 |AD    Dra  |191244.3+621615 |M         | 11.3    |  15.5      |            |V |30291.      |     |   225.5            |44 : |                 |01476 USNO |
340059 |AE    Dra *|182706.6+552933 |RRAB      | 12.4    |  13.38     |            |B |31996.480   |     |     0.6026728      |15   |A7-F6            |08697 01477|
340060 |AF    Dra *|203130.4+745717 |ACV       |  5.15   |   5.22     |            |V |            |     |    20.2747         |     |A0p(Sr-Cr-Eu)    |07946 BD   |
340061 |AG    Dra *|160141.0+664810 |ZAND      |  8.9    |  11.8      |            |p |38900.      |     |   554.             |     |K3IIIep          |05724 09092|
340062 |AH    Dra  |164816.6+574849 |SRB       |  8.5    |   9.3      |            |p |30520.      |     |   158.             |     |M7               |03775 08953|
340063 |AI    Dra *|165618.1+524154 |EA/SD     |  7.05   |   8.09     |   7.16     |V |43291.627   |     |     1.1988146      |18  *|A0V              |00001 06515|
340064 |AK    Dra  |181643.2+531448 |EA        | 11.8    |  12.6      |            |p |26828.530   |     |     2.218237       |16   |F3               |03835 00174|
340065 |AL    Dra  |182740.5+491833 |M         | 11.0    |  13.8      |            |p |39409.      |     |   330.3            |     |M7ea             |00001 04238|
340066 |AM    Dra  |185243.8+641005 |M         | 11.3    |< 13.8      |            |p |35235.      |     |   325.3            |     |                 |00686 00174|
340067 |AN    Dra  |170405.2+714747 |M         | 11.8    |  16.       |            |p |32978.      |     |   353.5            |     |M5               |05724 00174|
340068 |AO    Dra  |173640.4+545139 |SRA       | 11.0    |  12.5      |            |p |34213.      |     |   103.             |     |M3e              |00686 00174|
340069 |AP    Dra *|182200.9+695010 |M:        | 11.6    |< 13.0      |            |p |37490.      |     |   582.             |     |                 |03835 00174|
340071 |AR    Dra *|121636.5+645127 |EA/SD:    | 11.29   |  12.51     |  11.63     |V |42868.9114  |     |     0.6758375      |20   |F5V              |00001 09093|
340072 |AS    Dra *|122211.7+731455 |*         |  8.00   |   8.10     |            |V |35926.055   |     |     5.414905       |     |G4+G9            |02790 BD   |
340073 |AT    Dra  |161715.4+594518 |LB        |  6.8    |   7.5      |            |p |            |     |                    |     |M4IIIa           |02696 08953|
340074 |AU    Dra  |173521.3+683819 |EA/SD:    | 12.3    |  13.1      |            |p |35635.397   |     |     0.51514        |     |                 |01040 00174|
340075 |AV    Dra  |175944.2+515302 |RR        | 12.3    |< 12.9      |            |p |35335.522   |     |     0.5555919      |     |                 |05342 00174|
340076 |AW    Dra *|190048.0+500531 |RRAB      | 12.3    |  14.3      |            |p |36075.224   |     |     0.6871941      |20 : |                 |03506 02798|
340077 |AX    Dra *|124014.7+661710 |EB        | 10.9    |  11.6      |  11.0      |p |26767.675   |     |     0.5681644      |     |F5               |04171 00174|
340078 |AY    Dra  |153839.2+570133 |SRA       | 10.6    |  12.6      |            |p |26603.      |     |   262.5            |     |                 |05371 04014|
340079 |AZ    Dra  |164042.5+724018 |LB        |  8.0    |   8.9      |            |p |            |     |                    |     |M2               |04198 08953|
340080 |BB    Dra  |175345.0+570321 |LB        | 10.9    |  11.7      |            |p |            |     |                    |     |M8               |04213 BD   |
340081 |BC    Dra  |181419.1+764108 |RRAB      | 11.27   |  11.80     |            |V |42278.443   |     |     0.719576       |22   |F5               |09094 09094|
340082 |BD    Dra  |181751.9+771749 |RRAB      | 12.02   |  13.11     |            |V |41774.441   |     |     0.589052       |20   |                 |07114 02789|
340083 |BE    Dra *|182556.9+685744 |EB/KE     | 11.3    |  11.8      |  11.5      |p |36317.368   |     |     0.5224911      |     |B                |04171 02789|
340084 |BF    Dra  |185059.4+695258 |EA        | 10.1    |  10.8      |            |p |36317.579   |     |     5.60545        |06  *|F8               |04109 04235|
340085 |BG    Dra  |185436.0+513231 |SR:       | 12.0    |  14.0      |            |p |            |     |                    |     |                 |04236 04236|
340086 |BH    Dra *|190339.5+572726 |EA/SD:    |  8.38   |   9.27     |   8.58     |V |40019.7982  |     |     1.81723857     |11  *|A2V+Ap           |06517 08953|
340087 |BI    Dra  |191551.6+734549 |SRA       | 11.0    |  11.6      |            |p |28410.      |     |   106.             |     |M                |04014 02789|
340088 |BK    Dra *|191820.7+662448 |RRAB      | 10.59   |  11.87     |            |V |25523.305   |     |     0.5920815      |12   |A8               |03835 04250|
340089 |BL    Dra  |194024.6+605513 |E         | 11.9    |  12.2      |            |p |            |     |                    |     |                 |03148 04065|
340096 |BS    Dra *|195628.8+733658 |EA/DM     |  9.12   |   9.86     |   9.84     |V |41461.4242  |     |     3.3640120      |07  *|F5V+F5V          |00001 08953|
340097 |BT    Dra  |145144.6+600409 |RRAB      | 11.36   |  12.30     |            |V |30734.635   |     |     0.5886740      |16   |A8               |00001 09095|
340098 |BU    Dra  |145840.1+564507 |EA/SD:    | 10.4    |  11.4      |            |p |28656.530   |     |     1.91417        |07  *|F5               |03160 BD   |
340099 |BV    Dra *|151150.4+615125 |EW/KW     |  7.88   |   8.48     |   8.40     |V |44474.327   |     |     0.3500671      |     |F7V              |00001 09096|
340100 |BW    Dra *|151150.1+615141 |EW/KW     |  8.61   |   9.08     |   9.02     |V |42572.538   |     |     0.2921671      |     |                 |09097 09096|
340101 |BX    Dra  |160617.4+624546 |RR        | 11.5    |  12.2      |            |p |27216.410   |     |     0.561192       |20   |A3               |03929 03587|
340102 |BY    Dra *|183355.8+514309 |BY+UV     |  8.04   |   8.48     |            |V |            |     |     3.813          |     |K3V+MVe          |06948 04028|
340103 |BZ    Dra  |184717.9+535647 |M         | 12.     |< 16.5      |            |p |38590.     :|     |                    |     |                 |03910 03910|
340111 |CK    Dra  |153743.8+570649 |EA/SD     | 11.3    |  12.9      |            |p |36233.767   |     |     4.994511       |10 : |                 |05424 05424|
340112 |CL    Dra  |155747.4+544459 |DSCTC     |  4.95   |(  0.02    )|            |V |            |     |     0.063          |     |F0IV             |06255 BD   |
340114 |CN    Dra  |194644.7+682617 |DSCTC     |  6.29   |(  0.09    )|            |V |            |     |     0.100          |     |F0III            |05500 BD   |
340117 |CQ    Dra  |123006.7+691204 |LB:       |  4.95   |   5.04     |            |V |            |     |                    |     |M3IIIa           |05841 BD   |
340118 |CR    Dra *|161705.4+551609 |UV        |  9.46   |  12.53     |            |U |            |     |                    |     |M1.5Ve           |09119 04069|
340119 |CS    Dra  |111555.9+750835 |LB        |  9.93   |  10.58     |            |V |            |     |                    |     |M5               |09118      |
340120 |CT    Dra  |114109.3+752822 |LB        |  9.8    |  10.4      |            |p |            |     |                    |     |M                |02618 BD   |
340121 |CU    Dra  |135125.9+644324 |LB:       |  4.52   |   4.67     |            |V |            |     |                    |     |M3III            |09152 BD   |
