010004 |U     And  |011529.7+404308 |M         |  9.0    |  15.0      |V |49564.      |     |   347.7            |40   |M6e              |00001 00002|
420280 |MR    Hya  |081907.4-020448 |SRB       |  9.00   |   9.18     |Hp|            |     |                    |     |                 |HIP   HIP  |
420282 |MT    Hya  |082041.3+051122 |SRB       |  9.83   |  10.15     |Hp|            |     |                    |     |                 |HIP   HIP  |
420288 |MZ    Hya  |084922.1-075631 |SRB       |  8.84   |   9.03     |Hp|            |     |                    |     |                 |HIP   HIP  |
420290 |NO    Hya  |085909.9+000612 |SRB:      |  9.57   |   9.79     |Hp|            |     |                    |     |                 |HIP   HIP  |
420293 |NR    Hya  |090616.8-005951 |LB:       |  9.58   |   9.76     |Hp|            |     |                    |     |                 |HIP   HIP  |
420296 |NU    Hya  |091019.8-113700 |LB        |  8.33   |   8.50     |Hp|            |     |                    |     |                 |HIP   HIP  |
420299 |NX    Hya  |092049.4+005247 |EB        |  8.33   |   8.50     |Hp|            |     |                    |     |                 |HIP   HIP  |
420300 |NY    Hya  |092122.8-064019 |EA        |  8.65   |   9.02     |Hp|            |     |                    |     |                 |HIP   HIP  |
420301 |NZ    Hya  |092256.7-152945 |EA        |  8.28   |   8.78     |Hp|            |     |                    |     |                 |HIP   HIP  |
420302 |OO    Hya  |092642.2+035009 |I:        | 10.37   |  10.83     |Hp|            |     |                    |     |                 |HIP   HIP  |
420305 |OR    Hya  |093407.3-210406 |LB:       |  9.24   |   9.40     |Hp|            |     |                    |     |                 |HIP   HIP  |
420306 |OS    Hya  |093436.5-002914 |LB        |  8.45   |   8.70     |Hp|            |     |                    |     |                 |HIP   HIP  |
420308 |OU    Hya  |093612.9+054305 |LB:       |  9.59   |   9.76     |Hp|            |     |                    |     |                 |HIP   HIP  |
420309 |OV    Hya  |093559.0-203310 |LB:       |  8.67   |   8.77     |Hp|            |     |                    |     |                 |HIP   HIP  |
420313 |OZ    Hya  |100211.6-194600 |EA        |  9.50   |   9.75     |Hp|            |     |                    |     |                 |HIP   HIP  |
420315 |PQ    Hya  |100404.3-153855 |LB:       |  9.03   |   9.17     |Hp|            |     |                    |     |                 |HIP   HIP  |
420316 |PR    Hya  |100552.9-144837 |SRB       |  8.96   |   9.17     |Hp|            |     |                    |     |                 |HIP   HIP  |
420318 |PT    Hya  |100943.3-144545 |LB:       |  8.02   |   8.13     |Hp|            |     |                    |     |                 |HIP   HIP  |
420319 |PU    Hya  |101501.3-134749 |LB:       |  8.83   |   8.92     |Hp|            |     |                    |     |                 |HIP   HIP  |
420320 |PV    Hya  |102836.4-263558 |LB        |  9.32   |   9.87     |Hp|            |     |                    |     |                 |HIP   HIP  |
420321 |PW    Hya  |103102.7-213848 |BY:       | 10.17   |  12.31     |Hp|            |     |                    |     |                 |HIP   HIP  |
420322 |PX    Hya  |103330.7-201052 |E         |  8.47   |   8.57     |Hp|            |     |                    |     |                 |HIP   HIP  |
420323 |PY    Hya  |104412.0-124726 |LB:       |  8.88   |   8.99     |Hp|            |     |                    |     |                 |HIP   HIP  |
420324 |PZ    Hya  |104448.9-240456 |LB:       |  9.93   |  10.38     |Hp|            |     |                    |     |                 |HIP   HIP  |
420326 |QR    Hya  |105631.2-343350 |E         |  8.51   |   8.69     |Hp|            |     |                    |     |                 |HIP   HIP  |
420327 |QS    Hya  |105950.7-305434 |SRD       |  9.16   |   9.33     |Hp|            |     |                    |     |                 |HIP   HIP  |
420330 |QV    Hya  |114945.1-331649 |LB:       |  9.05   |   9.16     |Hp|            |     |                    |     |                 |HIP   HIP  |
420331 |QW    Hya  |120338.8-322439 |LB        |  8.84   |   9.36     |Hp|            |     |                    |     |                 |HIP   HIP  |
420333 |QY    Hya  |120920.8-275856 |EB:       |  9.07   |   9.36     |Hp|            |     |                    |     |                 |HIP   HIP  |
420337 |V0337 Hya  |121729.6-343018 |SRA       |  8.38   |   9.20     |Hp|            |     |                    |     |                 |HIP   HIP  |
420338 |V0338 Hya  |122129.9-302906 |SRB       |  8.27   |   8.55     |Hp|            |     |                    |     |                 |HIP   HIP  |
420339 |V0339 Hya  |123023.6-270509 |SRB       |  8.16   |   8.42     |Hp|            |     |                    |     |                 |HIP   HIP  |
420340 |V0340 Hya  |124019.2-293654 |EA        |  8.24   |   8.53     |Hp|            |     |                    |     |                 |HIP   HIP  |
420343 |V0343 Hya  |124742.0-294742 |SRB       |  8.01   |   8.23     |Hp|            |     |                    |     |                 |HIP   HIP  |
420345 |V0345 Hya  |130243.3-270038 |LB:       |  8.93   |   9.03     |Hp|            |     |                    |     |                 |HIP   HIP  |
420347 |V0347 Hya  |133457.4-295524 |BY:       |  8.58   |   8.83     |Hp|            |     |                    |     |                 |HIP   HIP  |
420348 |V0348 Hya  |135009.3-292910 |LB:       |  8.52   |   8.63     |Hp|            |     |                    |     |                 |HIP   HIP  |
420351 |V0351 Hya  |140743.6-290134 |LB        |  8.65   |   9.06     |Hp|            |     |                    |     |                 |HIP   HIP  |
420352 |V0352 Hya  |140850.4-240522 |LB:       |  9.08   |   9.22     |Hp|            |     |                    |     |                 |HIP   HIP  |
420354 |V0354 Hya  |141812.2-273116 |E:        |  8.40   |   8.52     |Hp|            |     |                    |     |                 |HIP   HIP  |
420355 |V0355 Hya  |142351.3-280903 |LB:       |  8.33   |   8.43     |Hp|            |     |                    |     |                 |HIP   HIP  |
420358 |V0358 Hya  |093501.8+044522 |EA        |  9.53   |(  0.51    )|V |            |     |                    |     |                 |75146 BD   |
420360 |V0360 Hya  |121929.8-280101 |M         | 11.0    |< 15.4      |p |            |     |                    |     |                 |75148 75149|
420364 |V0364 Hya  |082127.6-003349 |SR:       | 11.09   |(  0.5     )|V |            |     |                    |     |                 |76012 GSC  |
420370 |V0370 Hya  |083713.6-162140 |SR:       | 10.8    |  11.8      |V |            |     |                    |     |                 |76012 DM   |
420371 |V0371 Hya  |084024.2-144920 |M         | 11.0    |< 13.8      |V |            |     |                    |     |                 |76088 USNO |
420372 |V0372 Hya  |085148.1-190924 |SR:       | 10.4    |  11.6      |V |            |     |                    |     |                 |76012 DM   |
420376 |V0376 Hya  |090016.6-164831 |SR:       | 11.35   |(  1.1     )|V |            |     |                    |     |                 |76012 DM   |
420380 |V0380 Hya  |090942.4-174043 |SR:       | 11.48   |(  0.6     )|V |            |     |                    |     |                 |76012 GSC  |
420381 |V0381 Hya  |091248.4-232147 |SR:       | 10.47   |(  0.5     )|V |            |     |                    |     |                 |76012 DM   |
420382 |V0382 Hya  |091324.1-150734 |SR:       | 11.26   |(  0.6     )|V |            |     |                    |     |                 |76012 GSC  |
420385 |V0385 Hya  |092936.9-220522 |SR:       | 10.85   |(  0.7     )|V |            |     |                    |     |                 |76012 DM   |
420397 |V0397 Hya  |081919.1+012020 |BY        |  8.35   |(  0.03    )|V |            |     |     8.75        :  |     |G5V              |78018 DM   |
420398 |V0398 Hya  |082626.8-031744 |M         | 10.9    |  14.1      |V |52776       |     |   313.             |     |Me               |78090 GSC  |
420400 |V0400 Hya  |083102.3-105804 |M         | 10.5    |< 15.0      |V |52402       |     |   315.             |     |M8:              |78040 USNO |
420402 |V0402 Hya  |085312.1-074321 |BY        |  9.04   |(  0.12    )|V |            |     |     0.4085         |     |K0/1V            |78046 DM   |
420403 |V0403 Hya  |085410.7-130051 |M         |  8.8    |  13.6      |V |52638       |     |   348.             |     |                 |78130 GSC  |
420405 |V0405 Hya  |090420.7-155451 |BY        |  8.77   |(  0.03    )|V |            |     |     8.64        :  |     |K2Ve             |78018 DM   |
420407 |V0407 Hya  |090917.9-170224 |SRB       | 10.8    |  12.8      |V |            |     |   102.             |     |M4               |78130 78124|
420408 |V0408 Hya  |091007.5-170038 |SRB       | 10.0    |  11.0      |V |            |     |   325.             |     |                 |78130 DM   |
420409 |V0409 Hya  |091009.6+034435 |EW        | 11.0    |  11.6      |V |53154.4821  |     |     0.472271       |     |                 |78130 78125|
420410 |V0410 Hya  |091244.4-144117 |EA        | 10.48   |  11.11     |V |52732.719   |     |     3.1508         |     |A3               |78011 DM   |
420411 |V0411 Hya  |091343.5-202155 |SRB       | 10.2    |  11.1      |V |            |     |    63.             |     |M7               |78130 DM   |
420413 |V0413 Hya  |091550.7-154124 |SRB       | 10.7    |  11.5      |V |            |     |   200.             |     |M7               |78130 GSC  |
420414 |V0414 Hya  |092253.7-134921 |RS:       |  8.8    |   9.2      |V |            |     |    18.8         :  |     |                 |78131 DM   |
420417 |V0417 Hya  |100437.7-114347 |BY        |  8.15   |(  0.03    )|V |            |     |    10.74           |     |K0V              |78018 DM   |
420418 |V0418 Hya  |103630.8-135036 |BY:       |  8.71   |(  0.02    )|V |            |     |                    |     |K2V              |78018 DM   |
420420 |V0420 Hya *|122432.5-281856 |E:        | 10.1    |  10.9      |V |            |     |   755.          :  |     |S4,6e            |78100 DM   |
420428 |V0428 Hya  |084146.1+021120 |M         |  9.1    |  12.0      |* |52638.      |     |   490.          :  |     |M9               |79100 USNO |
420429 |V0429 Hya  |085543.8-191328 |SRB       |  9.5    |  10.7      |V |            |     |   117.             |     |                 |79100 79096|
420431 |V0431 Hya  |091139.4-120935 |LB        |  9.6    |  10.7      |V |            |     |                    |     |M4               |79100 79096|
420435 |V0435 Hya  |095536.1-194127 |EA        | 10.04   |  10.76     |V |51932.715   |     |     2.2110         |10   |                 |79018 DM   |
420436 |V0436 Hya  |100535.1-123515 |SRB       |  9.7    |  11.7      |V |            |     |   240.             |     |M5               |79100 DM   |
420437 |V0437 Hya  |101553.3-262906 |LB        |  9.4    |  10.4      |V |            |     |                    |     |M0               |79100 DM   |
420438 |V0438 Hya  |103758.3-201109 |LB        |  9.1    |   9.7      |V |            |     |                    |     |                 |79230 DM   |
420439 |V0439 Hya  |104407.4-272642 |M         | 11.2    |< 14.2      |V |53900.      |     |   243.             |     |                 |79064 GSC  |
420440 |V0440 Hya  |105828.5-324648 |SRB       |  9.4    |  10.1      |V |            |     |    53.5            |     |                 |79064 DM   |
420441 |V0441 Hya  |111038.0-285402 |EB        | 11.05   |  11.75     |V |51979.683   |     |     0.58413        |     |                 |79011 DM   |
420443 |V0443 Hya *|111626.1-331713 |EA        | 11.05   |  11.56     |V |52406.540   |     |     4.67017        |07   |                 |79009 GSC  |
420444 |V0444 Hya  |111850.1-302825 |SRB       |  9.5    |  10.3      |V |            |     |   135.             |     |M8               |79100 DM   |
420449 |V0449 Hya  |115231.9-254655 |LB        |  9.9    |  10.6      |V |            |     |                    |     |                 |79100 DM   |
420450 |V0450 Hya  |115919.1-270903 |M         | 11.5    |< 14.6      |V |53769.      |     |   301.             |     |                 |79072 GSC  |
420455 |V0455 Hya  |123504.3-284640 |SRB       |  8.8    |   9.6      |V |            |     |    68.             |     |M6III            |79064 DM   |
420457 |V0457 Hya  |123722.6-280240 |SRB       |  9.7    |  10.6      |V |            |     |   115.             |     |M5               |79064 DM   |
420460 |V0460 Hya  |125244.3-260013 |SRB       |  9.2    |  11.0      |V |            |     |   109.             |     |M5               |79064 DM   |
420462 |V0462 Hya  |130245.5-235813 |SXPHE     | 10.84   |  11.46     |V |52432.684   |     |     0.158491       |25   |                 |79097 DM   |
420463 |V0463 Hya  |132717.4-250215 |M         | 11.2    |< 14.5      |V |53011.      |     |   325.             |     |                 |79100 GSC  |
420465 |V0465 Hya  |144824.0-271554 |M         | 11.3    |< 14.6      |V |53863.      |     |   224.             |     |Me               |79064 DM   |
430008 |Y     Hyi *|004550.7-784917 |EA/SD     | 10.4    |  14.0      |p |25481.50    |     |     3.53597        |     |A6V              |00193 06286|
430011 |RS    Hyi *|011027.8-765055 |M         | 10.0    |  16.0      |p |25850.      |     |   215.5            |     |M3e              |00193 06286|
430017 |RY    Hyi *|013334.1-751227 |M         | 11.0    |  15.5      |p |26650.      |     |   319.             |     |M5e              |00193 06286|
430028 |TU    Hyi  |015417.1-762244 |I         | 11.0    |  11.8      |p |            |     |                    |     |                 |00193 06286|
430037 |UX    Hyi  |034900.4-695243 |SRB       |  9.6    |  11.7      |p |            |     |   600.          :  |     |M4III            |00357 06286|
430041 |VW    Hyi *|040911.3-711741 |UGSU      |  8.4    |  14.4      |V |            |     |(   27.3          ) |     |pec(UG)          |09275 08852|
430044 |VZ    Hyi *|014458.4-801108 |          | 11.0    |  12.0      |p |            |     |                    |     |MB               |00193 06286|
430046 |WX    Hyi *|020950.8-631840 |UGSU      |  9.6    |  14.85     |V |            |     |(   13.7          ) |     |pec(UG)          |09276 08852|
430084 |BF    Hyi  |040403.2-742713 |EA        | 10.5    |  11.5      |p |            |     |                    |     |                 |00085 02380|
430085 |BG    Hyi  |012412.2-704031 |DSCTC     |  8.2    |(  0.03    )|V |            |     |                    |     |                 |67476 CPD  |
430094 |BQ    Hyi  |021800.8-712803 |E:/RS     |  8.06   |   8.22     |V |            |     |    18.66           |     |G1               |V 301 CPD  |=SMC  V2391
430095 |BR    Hyi  |041500.9-693212 |DSCT      | 10.54   |  10.67     |V |            |     |                    |     |                 |69173 CPD  |
430097 |BT    Hyi  |030037.1-815407 |ACVO      |  9.1    |(  0.01  B )|V |            |     |                    |     |                 |71020 CPD  |
430103 |BZ    Hyi  |000725.9-772939 |EA        |  8.53   |   8.69     |Hp|            |     |                    |     |                 |HIP   HIP  |
430104 |CC    Hyi  |013420.3-643108 |LB        |  8.97   |   9.17     |Hp|            |     |                    |     |                 |HIP   HIP  |
430105 |CD    Hyi  |013633.8-762219 |SRB:      |  8.28   |   8.35     |Hp|            |     |                    |     |                 |HIP   HIP  |
430106 |CE    Hyi  |013856.1-583449 |DSCTC     |  8.48   |   8.53     |Hp|            |     |                    |     |                 |HIP   HIP  |
430107 |CF    Hyi  |014311.1-580036 |BY:       |  9.23   |   9.41     |Hp|            |     |                    |     |                 |HIP   HIP  |
430110 |CI    Hyi  |021148.9-712903 |SRB       |  8.52   |   9.09     |Hp|            |     |                    |     |                 |HIP   HIP  |
430111 |CK    Hyi  |022207.5-813303 |LB:       |  8.38   |   8.48     |Hp|            |     |                    |     |                 |HIP   HIP  |
430115 |CO    Hyi  |024942.7-694842 |SRB       |  8.55   |   8.88     |Hp|            |     |                    |     |                 |HIP   HIP  |
430117 |CQ    Hyi  |032512.1-783958 |LB        |  8.48   |   8.67     |Hp|            |     |                    |     |                 |HIP   HIP  |
430118 |CR    Hyi  |033335.9-690059 |ELL:      |  9.28   |   9.34     |Hp|            |     |                    |     |                 |HIP   HIP  |
430119 |CS    Hyi  |033553.0-691135 |SRA       |  8.24   |   9.28     |Hp|            |     |                    |     |                 |HIP   HIP  |
430121 |CU    Hyi  |041735.5-715839 |BY:       |  9.20   |   9.44     |Hp|            |     |                    |     |                 |HIP   HIP  |
430124 |CX    Hyi  |030438.7-811358 |SRS       |  9.9    |  10.1      |V |            |     |    17.90           |     |M                |78130 DM   |
430125 |CY    Hyi *|030617.2-681230 |EW        |  9.3    |   9.8      |V |52128.767   |     |     0.41612        |     |F7               |78130 DM   |
430126 |CZ    Hyi  |002656.6-793255 |SR        | 11.4    |  13.5      |V |            |     |   103.             |     |                 |79064 79063|
430130 |DG    Hyi  |014438.1-772213 |SRB       | 11.1    |  11.8      |V |            |     |    47.2            |     |                 |79100 79010|
430131 |DH    Hyi  |014913.3-633100 |EA        |  8.45   |   8.63     |V |48375.910   |     |     7.43367        |03   |A2mA5-A7         |79009 DM   |
430133 |DK    Hyi  |030841.8-754724 |SRB       | 10.4    |  12.0      |V |            |     |    43.             |     |                 |79100 79063|
430134 |DL    Hyi  |032009.5-713610 |SRB       | 10.1    |  11.2      |V |            |     |    52.             |     |                 |79100 79118|
440001 |R     Ind  |223600.4-671716 |M         |  8.2    |  14.6      |V |41801.      |     |   216.26           |47   |M2e-M4(II)e      |00001 00002|
440004 |U     Ind  |204221.6-510605 |SRB       | 10.4    |  12.4      |p |            |     |    97.5            |     |M5/6e            |01016 08953|
440005 |V     Ind *|211129.9-450428 |RRAB      |  9.12   |  10.48     |V |40118.393   |     |     0.4795910      |10   |A5-G3:           |07984 06286|
440006 |W     Ind  |211422.8-530135 |SRC       |  9.4    |  11.5      |p |30090.      |     |   198.8            |     |M4IIe-M5IIe      |01016 05474|
440007 |X     Ind  |213028.4-535719 |M         |  9.0    |< 13.0      |p |30043.      |     |   225.85           |49   |M4e-M5IIe        |00001 08953|
440008 |Y     Ind  |214355.4-524342 |M         |  9.8    |< 13.0      |p |30094.      |     |   304.18           |52   |M6(II))e-M7e     |00001 08953|
440009 |Z     Ind  |215424.4-495641 |CST:      | 10.3    |  10.6      |p |            |     |                    |     |                 |00016 CoD  |
440010 |RR    Ind  |214617.6-651828 |SRB       | 10.9    |  13.1      |p |30120.      |     |   140.          :  |60   |C6II(Na)         |01016 CoD  |
440011 |RS    Ind *|213649.7-702001 |EA/DW     |  9.9    |  10.2      |p |27000.179   |     |     0.62406531     |21   |F4               |02196 05474|
440012 |RT    Ind  |204641.8-555028 |CST:      | 10.7    |            |p |            |     |                    |     |                 |00016 CoD  |
440013 |RU    Ind *|214822.8-544544 |EA/GS:    | 11.3    |  12.1      |p |24083.      |     |    35.54           |14 : |                 |00210 CoD  |
440015 |RW    Ind  |215829.2-691236 |M         |  9.6    |< 13.4      |V |26510.      |     |   150.          :  |     |M0Ibe-M4(II:)e   |01805 01805|
440016 |RX    Ind *|204103.5-522905 |M         | 10.7    |  15.5      |p |28781.      |     |                    |     |                 |00016      |
440017 |RY    Ind *|205802.1-460400 |EB/KE     | 10.83   |  11.45     |V |43019.8922  |     |     0.71211400     |     |A5               |09274 CoD  |
440018 |RZ    Ind  |210351.6-492946 |M         |  8.4    |< 14.0      |V |36454.      |     |   255.             |     |Me               |06454 02386|
440019 |SS    Ind  |220807.0-670822 |M         |  9.10   |  14.3      |V |36544.      |     |   190.             |47   |                 |06455 05474|
440020 |ST    Ind *|203523.8-481920 |EW/KW     | 11.3    |  11.79     |V |44839.6967  |     |     0.40188233     |     |                 |09279 CoD  |
440021 |SU    Ind *|205441.2-454351 |EB/DW     |  9.3    |   9.7      |V |34267.489   |     |     0.986323       |     |F5/6V            |00080 CoD  |
440064 |AK    Ind  |210912.2-464605 |LB        |  9.1    |   9.4      |p |            |     |                    |     |M4/5III          |04294 04001|
440070 |AQ    Ind  |220755.1-595230 |EA        | 11.     |  13.       |p |            |     |                    |     |                 |06561 06561|
440077 |AX    Ind  |205605.2-570002 |L         | 11.5    |  12.0      |p |            |     |                    |     |                 |06920 04001|
440078 |AY    Ind *|214905.8-720609 |UV        |  9.9    |  11.26     |B |            |     |                    |     |M2Ve             |07816 CPD  |
440080 |BB    Ind  |203911.3-463543 |LB:       | 10.3    |  11.1      |p |            |     |                    |     |M2/3             |07969 05937|
440083 |BE    Ind  |215947.7-593412 |DSCTC     |  8.4    |(  0.02    )|V |            |     |                    |     |                 |67448 CPD  |
440086 |BH    Ind  |212819.9-524915 |RS        |  9.44   |   9.89     |V |            |     |                    |     |                 |69011 CPD  |
440088 |BK    Ind  |203034.6-495119 |EA        | 10.30   |  10.84     |Hp|            |     |                    |     |                 |HIP   HIP  |
440089 |BL    Ind  |203242.0-572907 |LB        |  8.76   |   9.02     |Hp|            |     |                    |     |                 |HIP   HIP  |
440090 |BM    Ind  |204101.4-515251 |LB        |  8.85   |   9.05     |Hp|            |     |                    |     |                 |HIP   HIP  |
440092 |BO    Ind  |204416.5-535040 |EW        |  8.41   |   8.61     |Hp|            |     |                    |     |                 |HIP   HIP  |
440093 |BP    Ind  |205042.9-561430 |BY:       |  9.05   |   9.17     |Hp|            |     |                    |     |                 |HIP   HIP  |
440094 |BQ    Ind  |205533.7-564431 |SXPHE     |  9.78   |  10.05     |Hp|            |     |                    |     |                 |HIP   HIP  |
440096 |BS    Ind  |212059.8-522840 |EA        |  9.01   |   9.32     |Hp|            |     |                    |     |                 |HIP   HIP  |
440098 |BU    Ind  |214431.2-650334 |LB:       | 10.09   |  10.32     |Hp|            |     |                    |     |                 |HIP   HIP  |
440099 |BV    Ind  |214635.7-575948 |LB:       |  8.98   |   9.08     |Hp|            |     |                    |     |                 |HIP   HIP  |
440100 |BW    Ind  |215908.3-714455 |SRD:      |  9.14   |   9.20     |Hp|            |     |                    |     |                 |HIP   HIP  |
440102 |BY    Ind  |220855.6-703119 |LB        |  8.86   |   9.04     |Hp|            |     |                    |     |                 |HIP   HIP  |
440103 |BZ    Ind  |221153.2-675625 |LB:       |  8.72   |   8.89     |Hp|            |     |                    |     |                 |HIP   HIP  |
440106 |CE    Ind  |215143.5-731010 |ACV       |  8.86   |(  0.02    )|V |            |     |                    |     |                 |75026 CPD  |
440108 |CG    Ind  |211031.3-484959 |SRA       | 10.7    |  12.4      |V |52761       |     |   202.             |     |Me               |78090 GSC  |
440112 |CL    Ind  |222055.8-741512 |SRA       | 11.3    |  11.9      |p |23980.      |     |   382.             |     |                 |00210      |
440114 |CN    Ind  |204539.2-510243 |EW        |  9.43   |   9.87     |V |52783.760   |     |     0.45364        |     |F6:V:            |79011 DM   |
440115 |CO    Ind  |205629.6-475043 |EB        | 10.64   |  11.25     |V |52175.543   |     |     0.597959       |     |A2/3V:           |79018 79020|
440117 |CQ    Ind *|213103.3-505049 |EA        |  8.38   |   8.8  :   |V |52625.750   |     |    26.921          |02 : |F7V              |79011 DM   |
440122 |CV    Ind  |224039.7-681417 |M         | 11.3    |  14.0      |V |53888.      |     |   128.             |     |                 |79100 79106|
440123 |CW    Ind  |230056.6-691642 |RV:       | 11.5    |  11.95     |V |51869.540   |     |   121.21           |     |                 |79018 79121|
450001 |R     Lac *|224315.6+422211 |M         |  8.5    |  14.8      |V |41526.      |     |   299.86           |41   |M5e-M8.5e        |00001 00002|
450004 |U     Lac *|224743.4+550930 |SRC       |  9.4    |  12.1      |p |            |     |                    |     |M4epIab+B        |00882 00098|
450005 |V     Lac *|224838.0+561918 |DCEP      |  8.38   |   9.42     |V |28901.285   |     |     4.983458       |25   |F5-G0            |09288 00884|
450006 |W     Lac *|220729.8+374407 |M         | 10.3    |< 15.0      |p |39439.      |     |   328.5            |     |M7e-M8e          |00001 00100|
450007 |X     Lac *|224903.2+562542 |DCEPS     |  8.20   |   8.64     |V |42738.132   |     |     5.444990       |38   |F6-G0            |08632 00884|
450008 |Y     Lac  |220902.9+510245 |DCEP      |  8.76   |   9.50     |V |41746.745   |     |     4.323776       |34   |F5-G0            |08300 00102|
450010 |RR    Lac *|224126.5+562558 |DCEP      |  8.38   |   9.30     |V |42776.686   |     |     6.416243       |30   |F6-G2            |08632 00884|
450011 |RS    Lac  |221252.5+434501 |SRD       |  9.6    |  12.5      |V |40884.      |     |   237.26           |53   |K0               |00001 00002|
450012 |RT    Lac *|220130.7+435326 |EB/AR/RS  |  8.84   |   9.89     |V |44873.3648  |     |     5.0739496      |     |G9IV+K1IV        |09292 00010|
450013 |RU    Lac  |225619.5+482843 |M         | 10.8    |< 13.0      |p |35310.      |     |   203.24           |     |M1-M7            |00001 06286|
450014 |RV    Lac *|224440.9+494357 |SRB       | 11.0    |  12.7      |p |            |     |    67.             |     |M4               |00197 00098|
450015 |RW    Lac *|224457.1+493927 |EA/DM     | 10.4    |  11.0  :   |p |18657.440   |     |    10.36922        |04  *|F2               |00522 00522|
450016 |RX    Lac *|224956.9+410304 |SRB       |  9.1    |  11.3      |p |            |     |   650.          :  |32   |M7.5Se           |08021 08953|
450018 |RZ    Lac  |223540.5+524437 |GCAS:     |  8.2    |   9.3      |p |            |     |                    |     |B7e              |00572 BD   |
450019 |SS    Lac *|220441.5+462538 |EA/D      | 10.1    |  10.5      |p |15900.76    |     |    14.41629        |05   |B7               |00063 00010|
450021 |SU    Lac *|222257.0+553041 |M         | 11.3    |  16.       |p |44216.      |     |   302.0            |40 : |M5e:             |00001 06286|
450023 |SW    Lac *|225341.7+375619 |EW/KW     |  8.51   |   9.39     |V |45275.3477  |     |     0.3207209      |     |G8Vp+G8Vp        |00001 00010|
450024 |SX    Lac  |225600.0+351145 |SRD       |  9.0    |  10.0      |p |            |     |   190.0            |47   |K2               |01026 08953|
450029 |TV    Lac  |225607.4+541346 |LB        | 11.5    |  12.3      |p |            |     |                    |     |C4,5(N3)         |00098 00098|
450030 |TW    Lac *|223026.3+543706 |EA/SD     | 11.5    |  13.3      |V |41500.534   |     |     3.037417       |15   |A2               |09084 02217|
450031 |TX    Lac  |224551.2+550435 |LB        | 11.2    |  12.9      |p |            |     |                    |     |C3:,4J(R5)       |09299 00098|
450036 |UW    Lac *|222039.8+422429 |EA/SD     | 11.4    |  12.5      |p |37188.335   |     |     5.29023        |12   |A                |06087 01813|
450042 |VX    Lac *|224100.6+381920 |EA/SD     | 10.9    |  13.0      |p |45258.466   |     |     1.0744942      |15  *|F0               |00001 01142|
450043 |VY    Lac *|224959.1+450016 |EB/KE     | 10.2    |  11.0      |p |43749.467   |     |     1.03625        |     |A2               |00001 00279|
450069 |AP    Lac  |220651.7+482756 |M         | 11.3    |< 19.       |p |33483.      |     |   524.             |     |M9:              |01814 01814|
450076 |AW    Lac *|221757.9+542802 |EB/KE     | 10.6    |  11.3      |p |26624.222   |     |     1.1428498      |     |A0               |01818 00279|
450085 |BG    Lac  |220025.1+432643 |DCEP      |  8.51   |   9.18     |V |35315.273   |     |     5.331908       |33   |F7-G4            |01821 01142|
450086 |BH    Lac *|223452.0+513027 |IA:       | 11.0    |  12.8      |p |            |     |                    |     |A0               |00098 00098|
450098 |BU    Lac *|222846.6+503412 |SRB       | 10.8    |  14.0      |p |15800.      |     |  2000.             |     |M0               |00098 00098|
450113 |CM    Lac *|220004.4+443308 |EA/DM     |  8.18   |   9.15     |V |27026.316   |     |     1.6046916      |11  *|A2V+A8V          |01823 00010|
450115 |CO    Lac *|224630.0+564932 |EA/DM     | 10.28   |  10.89     |V |27534.0728  |     |     1.5422075      |13  *|B8.5IV+B9.5V     |05710 01965|
450117 |CQ    Lac  |222110.4+394313 |RRAB      | 11.5    |  13.0      |p |35036.386   |     |     0.620040       |10   |A1               |09330 01089|
450119 |CS    Lac *|215942.7+423416 |EB/DM     |  9.3    |   9.7      |p |27695.478   |     |     3.797807       |     |B5V              |03376 01142|
450120 |CT    Lac  |220639.9+482707 |SRA       | 10.6    |  17.2      |p |41110.      |     |   555.             |62   |C6-,4(R)         |04972 06566|
450124 |CX    Lac  |220746.0+400627 |SRD       |  9.5    |  10.6      |p |            |     |   133.             |55   |K5               |01142 01142|
450125 |CY    Lac  |221308.7+543334 |EA/DM     | 11.5    |  11.8      |p |28746.219   |     |     2.78694        |13  *|B5               |00150 00150|
450126 |CZ    Lac *|221930.8+512815 |RRAB      | 10.77   |  11.26     |V |45178.328   |     |     0.432205       |14   |A8-F5            |09334 01442|
450128 |DE    Lac *|221007.8+405511 |DSCT      | 10.08   |  10.43     |V |42659.819   |     |     0.2536934      |33   |F5-F8            |08114 01142|
450130 |DG    Lac *|222849.9+534616 |EA/SD     | 10.8    |  12.0      |p |44509.387   |     |     2.206534       |16  *|A5               |00001 05862|
450154 |EK    Lac  |220449.8+494011 |EA/KE:    | 11.2    |  11.7      |p |32824.253   |     |     1.537316       |15  *|A1               |01833 01833|
450162 |ES    Lac *|223206.3+535733 |EA/DM     | 11.0    |  11.6      |p |34240.416   |     |     4.459349       |     |A2               |07432 05862|
450165 |EV    Lac *|224649.7+442002 |UV+BY     |  8.28   |  11.83     |B |            |     |                    |     |M4.5Ve           |03380 09349|
450186 |FW    Lac  |222125.5+453900 |LB        |  9.8    |  10.7      |p |            |     |                    |     |MB               |04396 04396|
450188 |FY    Lac  |223235.5+453146 |I         | 11.0    |  11.9      |p |            |     |                    |     |                 |04397 04397|
450189 |FZ    Lac  |223452.7+450509 |SRA       | 10.6    |  11.4      |p |36786.      |     |    60.             |     |M                |04015 BD   |
